epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,371.36,1.62374,3.12922,1.02034,1.32954,0,0.87294,0.87463,0.89131,0.53023,0.79078,0.75947,0.75896,0.36702,1.84044,3.53978,0.87904,1.57296,0,0.0006832,0.0006832,0.0006832
66,376.893,1.669,3.18169,1.05824,1.35817,0,0.89745,0.85156,0.89378,0.51614,0.81044,0.7671,0.78055,0.39684,1.87893,3.30558,0.96052,1.58662,0,0.00067825,0.00067825,0.00067825
67,382.421,1.64019,3.10045,1.04331,1.32478,0,0.90449,0.83351,0.88866,0.50243,0.82005,0.75315,0.76119,0.37809,1.91623,3.4245,0.9529,1.61774,0,0.0006733,0.0006733,0.0006733
68,387.938,1.6581,3.11462,1.02903,1.32242,0,0.89467,0.89278,0.89298,0.53317,0.86449,0.81169,0.79159,0.38362,1.80201,3.47404,0.89006,1.54583,0,0.00066835,0.00066835,0.00066835
69,393.449,1.65979,3.06533,1.01734,1.33567,0,0.89817,0.8296,0.87633,0.50745,0.81989,0.75951,0.7629,0.37895,1.94896,3.45584,0.92965,1.62082,0,0.0006634,0.0006634,0.0006634
70,399,1.62895,3.09009,0.98785,1.32691,0,0.8995,0.81613,0.88096,0.51277,0.84468,0.76171,0.78759,0.39767,1.88652,3.30285,0.89759,1.59233,0,0.00065845,0.00065845,0.00065845
71,404.498,1.61458,3.04734,1.00046,1.30702,0,0.85501,0.85328,0.87263,0.5063,0.86265,0.75835,0.76998,0.36552,1.95436,3.49304,0.95451,1.63036,0,0.0006535,0.0006535,0.0006535
72,410.032,1.62376,3.033,0.99976,1.32071,0,0.84959,0.83215,0.85577,0.46522,0.75933,0.73682,0.71428,0.34154,2.09285,3.61722,1.02593,1.69443,0,0.00064855,0.00064855,0.00064855
73,415.528,1.6286,3.03786,0.97934,1.33073,0,0.88475,0.86852,0.90098,0.54484,0.81626,0.80032,0.80593,0.41595,1.75843,3.19846,0.85924,1.52907,0,0.0006436,0.0006436,0.0006436
74,421.067,1.65036,3.05615,0.99365,1.32957,0,0.86149,0.90312,0.90302,0.56137,0.83848,0.81841,0.81117,0.43023,1.74545,3.12241,0.82146,1.52337,0,0.00063865,0.00063865,0.00063865
75,426.615,1.60068,3.05843,0.99879,1.30062,0,0.91017,0.87504,0.88561,0.53528,0.87212,0.81949,0.80859,0.39864,1.87118,3.34232,0.84147,1.59626,0,0.0006337,0.0006337,0.0006337
76,432.148,1.61231,3.09568,0.96405,1.30185,0,0.93473,0.85571,0.90042,0.562,0.87519,0.80097,0.79918,0.40527,1.69966,3.28142,0.83907,1.48914,0,0.00062875,0.00062875,0.00062875
77,437.782,1.59767,3.04527,0.94866,1.30988,0,0.88164,0.89403,0.91535,0.57757,0.87788,0.80595,0.84341,0.43856,1.65129,3.15918,0.80304,1.47473,0,0.0006238,0.0006238,0.0006238
78,443.324,1.61875,3.0263,0.99559,1.32631,0,0.90344,0.8333,0.87019,0.54296,0.82596,0.76098,0.77449,0.417,1.70324,3.19585,0.92983,1.49368,0,0.00061885,0.00061885,0.00061885
79,448.841,1.65929,3.08252,1.00488,1.33753,0,0.88266,0.83812,0.87293,0.52049,0.85957,0.74699,0.78623,0.41229,1.79451,3.28033,0.95614,1.52504,0,0.0006139,0.0006139,0.0006139
80,454.359,1.59544,2.98355,0.95377,1.30803,0,0.89118,0.81325,0.85786,0.48955,0.83554,0.75495,0.75798,0.36814,1.95221,3.49081,1.00953,1.62343,0,0.00060895,0.00060895,0.00060895
81,459.891,1.58184,3.05593,0.97687,1.3047,0,0.85183,0.90336,0.91176,0.5817,0.81486,0.76515,0.78946,0.4304,1.637,3.17558,0.83986,1.46004,0,0.000604,0.000604,0.000604
82,465.414,1.59236,3.02702,0.97125,1.32071,0,0.92705,0.86163,0.90523,0.57321,0.86495,0.80677,0.8079,0.42835,1.67759,3.20535,0.80329,1.50906,0,0.00059905,0.00059905,0.00059905
83,470.923,1.54711,2.95825,0.94367,1.27827,0,0.92296,0.84773,0.87718,0.51673,0.84619,0.77072,0.76136,0.39231,1.85171,3.2703,0.91261,1.60264,0,0.0005941,0.0005941,0.0005941
84,476.458,1.53248,2.90916,0.90549,1.26865,0,0.90011,0.86951,0.89313,0.5578,0.82625,0.80125,0.79005,0.42872,1.69236,3.31674,0.80954,1.50466,0,0.00058915,0.00058915,0.00058915
85,481.979,1.56411,3.03991,0.97107,1.31378,0,0.89802,0.85847,0.89342,0.52517,0.81632,0.75302,0.77056,0.39428,1.86433,3.35505,0.89476,1.57366,0,0.0005842,0.0005842,0.0005842
86,487.511,1.5539,2.95906,0.94279,1.29238,0,0.90108,0.87832,0.90998,0.53873,0.81476,0.79748,0.79422,0.39717,1.84149,3.28353,0.88711,1.54071,0,0.00057925,0.00057925,0.00057925
87,493.036,1.54407,3.02081,0.94069,1.27231,0,0.87722,0.86159,0.88821,0.54098,0.80338,0.789,0.78597,0.41157,1.79655,3.25266,0.82496,1.55448,0,0.0005743,0.0005743,0.0005743
88,498.679,1.55304,2.91307,0.93471,1.29315,0,0.93052,0.90648,0.92869,0.58836,0.88232,0.84425,0.85238,0.4465,1.61778,3.09013,0.76108,1.44499,0,0.00056935,0.00056935,0.00056935
89,504.214,1.54952,2.95851,0.96058,1.27841,0,0.90034,0.82798,0.8897,0.54984,0.83982,0.76446,0.78209,0.41306,1.72334,3.21295,0.82356,1.49806,0,0.0005644,0.0005644,0.0005644
90,509.757,1.57038,3.02927,0.94046,1.28716,0,0.89339,0.86838,0.8871,0.52019,0.80466,0.75616,0.74166,0.37519,1.87807,3.39746,0.90349,1.58872,0,0.00055945,0.00055945,0.00055945
91,515.319,1.55266,2.96131,0.9283,1.28004,0,0.90497,0.87515,0.91304,0.55477,0.8497,0.76515,0.7751,0.41439,1.74846,3.29752,0.80539,1.52845,0,0.0005545,0.0005545,0.0005545
92,520.85,1.56338,2.94688,0.94313,1.29688,0,0.9015,0.89791,0.89021,0.52274,0.80616,0.80115,0.75625,0.39486,1.94282,3.45098,0.83831,1.64376,0,0.00054955,0.00054955,0.00054955
93,526.371,1.54482,2.96733,0.92493,1.28845,0,0.88576,0.92262,0.92495,0.59704,0.88322,0.80616,0.82669,0.44698,1.62177,3.09756,0.76721,1.45747,0,0.0005446,0.0005446,0.0005446
94,531.906,1.58559,2.95404,0.94486,1.30007,0,0.91473,0.87917,0.91262,0.57646,0.86856,0.802,0.79817,0.42656,1.6934,3.12318,0.77399,1.49417,0,0.00053965,0.00053965,0.00053965
95,537.447,1.52773,2.94499,0.9192,1.27942,0,0.91443,0.86151,0.9013,0.55876,0.85045,0.7946,0.79815,0.41085,1.73615,3.22238,0.79332,1.50507,0,0.0005347,0.0005347,0.0005347
96,542.968,1.52582,2.92235,0.91964,1.26632,0,0.88506,0.84842,0.88253,0.55855,0.8192,0.77854,0.78669,0.42494,1.72386,3.14943,0.84563,1.4784,0,0.00052975,0.00052975,0.00052975
97,548.497,1.54601,2.92492,0.93239,1.28753,0,0.89995,0.8938,0.90373,0.5167,0.82653,0.82249,0.80505,0.3845,1.90054,3.4123,0.82705,1.59188,0,0.0005248,0.0005248,0.0005248
98,554.033,1.54197,2.90573,0.91228,1.28482,0,0.89419,0.89772,0.91684,0.58685,0.86957,0.84591,0.82867,0.44452,1.62121,3.00531,0.74228,1.44966,0,0.00051985,0.00051985,0.00051985
99,559.546,1.532,2.95091,0.89764,1.27346,0,0.89839,0.84794,0.88917,0.53006,0.84358,0.77174,0.78246,0.39025,1.82399,3.39096,0.88103,1.55043,0,0.0005149,0.0005149,0.0005149
100,565.163,1.48182,2.88756,0.89736,1.25432,0,0.94959,0.88764,0.92564,0.58452,0.90757,0.84454,0.84744,0.4508,1.5928,3.02998,0.70056,1.43822,0,0.00050995,0.00050995,0.00050995
101,570.686,1.48215,2.85089,0.86396,1.25437,0,0.92749,0.88739,0.9127,0.58513,0.88511,0.81222,0.80837,0.44598,1.66627,3.03261,0.79049,1.48705,0,0.000505,0.000505,0.000505
102,576.252,1.49804,2.79251,0.8817,1.25795,0,0.91622,0.90477,0.92483,0.58012,0.89128,0.83322,0.8402,0.43652,1.66102,3.12053,0.74879,1.46531,0,0.00050005,0.00050005,0.00050005
103,581.765,1.48179,2.87582,0.87313,1.2527,0,0.91383,0.86449,0.89243,0.56579,0.86087,0.78531,0.79006,0.43177,1.6711,3.0846,0.82989,1.48475,0,0.0004951,0.0004951,0.0004951
104,587.246,1.49976,2.87652,0.88403,1.27195,0,0.9159,0.86383,0.91694,0.57223,0.84931,0.789,0.79319,0.42649,1.69616,3.11752,0.76218,1.48881,0,0.00049015,0.00049015,0.00049015
105,592.759,1.52813,2.84964,0.86035,1.2609,0,0.90974,0.89444,0.89637,0.51188,0.83792,0.80522,0.78926,0.38664,1.87361,3.37696,0.8098,1.59288,0,0.0004852,0.0004852,0.0004852
106,598.286,1.47831,2.89029,0.87478,1.24517,0,0.89164,0.88341,0.89867,0.52908,0.86253,0.79352,0.79586,0.39036,1.80951,3.29758,0.81122,1.5619,0,0.00048025,0.00048025,0.00048025
107,603.781,1.49032,2.85718,0.86088,1.26363,0,0.93547,0.87403,0.9123,0.56603,0.85126,0.78734,0.80714,0.42549,1.727,3.23562,0.78325,1.52385,0,0.0004753,0.0004753,0.0004753
108,609.282,1.433,2.77932,0.84122,1.22315,0,0.91656,0.90012,0.91938,0.5772,0.90468,0.82005,0.82454,0.44242,1.63753,3.05806,0.74103,1.49447,0,0.00047035,0.00047035,0.00047035
109,614.78,1.47216,2.84689,0.83749,1.23985,0,0.9012,0.87641,0.90646,0.57743,0.86958,0.7866,0.79587,0.43309,1.68278,3.17947,0.75417,1.49952,0,0.0004654,0.0004654,0.0004654
110,620.312,1.4963,2.8083,0.86833,1.26104,0,0.89429,0.88264,0.90167,0.54509,0.86782,0.7591,0.77637,0.40434,1.73001,3.27546,0.80127,1.53967,0,0.00046045,0.00046045,0.00046045
111,625.919,1.5237,2.91899,0.91727,1.27841,0,0.91432,0.84338,0.8911,0.54234,0.85628,0.75947,0.77031,0.39804,1.73988,3.34202,0.81811,1.52401,0,0.0004555,0.0004555,0.0004555
112,631.4,1.47207,2.80434,0.84762,1.2463,0,0.91385,0.88084,0.92037,0.59207,0.86454,0.81391,0.80597,0.4469,1.58435,3.00899,0.73002,1.45283,0,0.00045055,0.00045055,0.00045055
113,636.905,1.4876,2.83232,0.8445,1.25265,0,0.92703,0.88764,0.91256,0.57004,0.86395,0.81505,0.81121,0.42238,1.69027,3.14879,0.74961,1.49983,0,0.0004456,0.0004456,0.0004456
114,642.387,1.47302,2.82381,0.87213,1.24008,0,0.92114,0.90158,0.92144,0.59077,0.88875,0.82413,0.83358,0.45188,1.561,2.99957,0.73339,1.43333,0,0.00044065,0.00044065,0.00044065
115,647.957,1.48378,2.81081,0.85858,1.26392,0,0.91407,0.86959,0.90661,0.57739,0.85737,0.80859,0.8088,0.44075,1.62932,3.04594,0.79251,1.46408,0,0.0004357,0.0004357,0.0004357
116,653.473,1.48836,2.8371,0.86331,1.2689,0,0.92087,0.89925,0.92176,0.60186,0.87804,0.82044,0.83084,0.4699,1.53669,2.91939,0.72093,1.40878,0,0.00043075,0.00043075,0.00043075
117,659.03,1.43745,2.85297,0.86196,1.23523,0,0.91784,0.88227,0.91036,0.59181,0.85814,0.82756,0.82543,0.45918,1.62954,3.01825,0.75716,1.47716,0,0.0004258,0.0004258,0.0004258
118,664.551,1.44184,2.77373,0.82207,1.22879,0,0.90831,0.88262,0.90903,0.55376,0.86008,0.79692,0.80114,0.42596,1.7526,3.26587,0.76865,1.52225,0,0.00042085,0.00042085,0.00042085
119,670.062,1.44285,2.81137,0.84017,1.22758,0,0.92171,0.88262,0.9104,0.58073,0.8638,0.81621,0.80416,0.44653,1.63874,3.04386,0.74022,1.4587,0,0.0004159,0.0004159,0.0004159
120,675.569,1.43512,2.76621,0.82877,1.23865,0,0.91618,0.88133,0.89492,0.55298,0.87145,0.81505,0.80371,0.41099,1.73884,3.32594,0.77498,1.51081,0,0.00041095,0.00041095,0.00041095
121,681.11,1.44847,2.81679,0.8563,1.24147,0,0.93123,0.87085,0.9108,0.55438,0.87888,0.80825,0.81093,0.41172,1.71021,3.14239,0.76454,1.49486,0,0.000406,0.000406,0.000406
