epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
96,573.624,1.52302,2.91993,0.88912,1.26696,0,0.89394,0.87628,0.91997,0.58385,0.8671,0.80141,0.82928,0.42645,1.68225,3.15268,0.71883,1.47536,0,0.00052975,0.00052975,0.00052975
97,579.546,1.54686,2.91787,0.89225,1.28901,0,0.9023,0.89101,0.90195,0.58863,0.87483,0.83135,0.83826,0.44102,1.56714,3.03274,0.71223,1.43468,0,0.0005248,0.0005248,0.0005248
98,585.494,1.53091,2.94431,0.88989,1.27888,0,0.89203,0.8909,0.92237,0.57028,0.85035,0.80713,0.82069,0.41748,1.68532,3.19487,0.71081,1.49835,0,0.00051985,0.00051985,0.00051985
99,591.416,1.53505,2.94183,0.88836,1.27552,0,0.92141,0.87286,0.92315,0.59275,0.86624,0.8242,0.8395,0.43489,1.61012,3.13254,0.71314,1.45609,0,0.0005149,0.0005149,0.0005149
100,597.45,1.52205,2.92169,0.87845,1.26806,0,0.90868,0.899,0.92025,0.60192,0.88789,0.82529,0.83006,0.45422,1.53535,3.00931,0.71845,1.4084,0,0.00050995,0.00050995,0.00050995
101,603.366,1.50927,2.86223,0.85109,1.27299,0,0.89394,0.89261,0.9163,0.58192,0.86736,0.81505,0.82155,0.43255,1.69338,3.10652,0.73008,1.46587,0,0.000505,0.000505,0.000505
102,609.268,1.52525,2.83316,0.87204,1.26773,0,0.89349,0.90549,0.92026,0.58704,0.88415,0.79396,0.81508,0.42039,1.6556,3.209,0.74173,1.4501,0,0.00050005,0.00050005,0.00050005
103,615.144,1.52999,2.9203,0.89242,1.27176,0,0.88943,0.91185,0.91427,0.59916,0.89001,0.82059,0.83476,0.45886,1.58552,3.00869,0.73692,1.42959,0,0.0004951,0.0004951,0.0004951
104,621.058,1.50282,2.8775,0.86722,1.27277,0,0.93245,0.90619,0.92647,0.5775,0.87927,0.81113,0.82886,0.42764,1.70937,3.0968,0.72328,1.47772,0,0.00049015,0.00049015,0.00049015
105,626.938,1.52309,2.87051,0.84385,1.26356,0,0.89978,0.90353,0.91922,0.60467,0.86466,0.80032,0.81796,0.44578,1.61647,3.08609,0.73346,1.45802,0,0.0004852,0.0004852,0.0004852
