[INFO] Session log file: dataset/debug/session_20260520_164514.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2616465765, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=95, depth_sets=94, color=1280×720,OBFormat.RGB,ts=2616474443, depth=640×576,OBFormat.Y16,ts=2616474444
[DEBUG] frames: total=96, depth_sets=95, color=1280×720,OBFormat.RGB,ts=2616474543, depth=640×576,OBFormat.Y16,ts=2616474544
[DEBUG] frames: total=97, depth_sets=96, color=1280×720,OBFormat.RGB,ts=2616474610, depth=640×576,OBFormat.Y16,ts=2616474611
[DEBUG] frames: total=98, depth_sets=97, color=1280×720,OBFormat.RGB,ts=2616474709, depth=640×576,OBFormat.Y16,ts=2616474710
[DEBUG] frames: total=99, depth_sets=98, color=1280×720,OBFormat.RGB,ts=2616474809, depth=640×576,OBFormat.Y16,ts=2616474810
[DEBUG] frames: total=100, depth_sets=99, color=1280×720,OBFormat.RGB,ts=2616474875, depth=640×576,OBFormat.Y16,ts=2616474877
[DEBUG] frames: total=101, depth_sets=100, color=1280×720,OBFormat.RGB,ts=2616475108, depth=640×576,OBFormat.Y16,ts=2616475109
[DEBUG] frames: total=102, depth_sets=101, color=1280×720,OBFormat.RGB,ts=2616475274, depth=640×576,OBFormat.Y16,ts=2616475276
[DEBUG] frames: total=103, depth_sets=102, color=1280×720,OBFormat.RGB,ts=2616475341, depth=640×576,OBFormat.Y16,ts=2616475342
[DEBUG] frames: total=104, depth_sets=103, color=1280×720,OBFormat.RGB,ts=2616475441, depth=640×576,OBFormat.Y16,ts=2616475442
[DEBUG] frames: total=105, depth_sets=104, color=1280×720,OBFormat.RGB,ts=2616475540, depth=640×576,OBFormat.Y16,ts=2616475542
[DEBUG] frames: total=106, depth_sets=105, color=1280×720,OBFormat.RGB,ts=2616475640, depth=640×576,OBFormat.Y16,ts=2616475641
[DEBUG] frames: total=107, depth_sets=106, color=1280×720,OBFormat.RGB,ts=2616475740, depth=640×576,OBFormat.Y16,ts=2616475741
[DEBUG] frames: total=108, depth_sets=107, color=1280×720,OBFormat.RGB,ts=2616475939, depth=640×576,OBFormat.Y16,ts=2616475941
[DEBUG] frames: total=109, depth_sets=108, color=1280×720,OBFormat.RGB,ts=2616476006, depth=640×576,OBFormat.Y16,ts=2616476007
