[INFO] Session log file: dataset/debug/session_20260519_132034.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517784909, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785009, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=3, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785109, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=4, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785142, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=98, depth_sets=93, color=1280×720,OBFormat.RGB,ts=2517793488, depth=640×576,OBFormat.Y16,ts=2517793489
[DEBUG] frames: total=99, depth_sets=94, color=1280×720,OBFormat.RGB,ts=2517793588, depth=640×576,OBFormat.Y16,ts=2517793589
[DEBUG] frames: total=100, depth_sets=95, color=1280×720,OBFormat.RGB,ts=2517793655, depth=640×576,OBFormat.Y16,ts=2517793656
[DEBUG] frames: total=101, depth_sets=96, color=1280×720,OBFormat.RGB,ts=2517793754, depth=640×576,OBFormat.Y16,ts=2517793755
[DEBUG] frames: total=102, depth_sets=97, color=1280×720,OBFormat.RGB,ts=2517793821, depth=640×576,OBFormat.Y16,ts=2517793822
[DEBUG] frames: total=103, depth_sets=98, color=1280×720,OBFormat.RGB,ts=2517793921, depth=640×576,OBFormat.Y16,ts=2517793922
[DEBUG] frames: total=104, depth_sets=99, color=1280×720,OBFormat.RGB,ts=2517794020, depth=640×576,OBFormat.Y16,ts=2517794021
[DEBUG] frames: total=105, depth_sets=100, color=1280×720,OBFormat.RGB,ts=2517794087, depth=640×576,OBFormat.Y16,ts=2517794088
[DEBUG] frames: total=106, depth_sets=101, color=1280×720,OBFormat.RGB,ts=2517794187, depth=640×576,OBFormat.Y16,ts=2517794188
[DEBUG] frames: total=107, depth_sets=102, color=1280×720,OBFormat.RGB,ts=2517794253, depth=640×576,OBFormat.Y16,ts=2517794254
[DEBUG] frames: total=108, depth_sets=103, color=1280×720,OBFormat.RGB,ts=2517794353, depth=640×576,OBFormat.Y16,ts=2517794354
[DEBUG] frames: total=109, depth_sets=104, color=1280×720,OBFormat.RGB,ts=2517794419, depth=640×576,OBFormat.Y16,ts=2517794421
[DEBUG] frames: total=110, depth_sets=105, color=1280×720,OBFormat.RGB,ts=2517794486, depth=640×576,OBFormat.Y16,ts=2517794487
[DEBUG] frames: total=111, depth_sets=106, color=1280×720,OBFormat.RGB,ts=2517794586, depth=640×576,OBFormat.Y16,ts=2517794587
[DEBUG] frames: total=112, depth_sets=107, color=1280×720,OBFormat.RGB,ts=2517794685, depth=640×576,OBFormat.Y16,ts=2517794687
[DEBUG] frames: total=113, depth_sets=108, color=1280×720,OBFormat.RGB,ts=2517794752, depth=640×576,OBFormat.Y16,ts=2517794753
[DEBUG] frames: total=114, depth_sets=109, color=1280×720,OBFormat.RGB,ts=2517794852, depth=640×576,OBFormat.Y16,ts=2517794853
[DEBUG] frames: total=115, depth_sets=110, color=1280×720,OBFormat.RGB,ts=2517794918, depth=640×576,OBFormat.Y16,ts=2517794919
[DEBUG] frames: total=116, depth_sets=111, color=1280×720,OBFormat.RGB,ts=2517795018, depth=640×576,OBFormat.Y16,ts=2517795019
[DEBUG] frames: total=117, depth_sets=112, color=1280×720,OBFormat.RGB,ts=2517795085, depth=640×576,OBFormat.Y16,ts=2517795086
[DEBUG] frames: total=118, depth_sets=113, color=1280×720,OBFormat.RGB,ts=2517795184, depth=640×576,OBFormat.Y16,ts=2517795185
[DEBUG] frames: total=119, depth_sets=114, color=1280×720,OBFormat.RGB,ts=2517795251, depth=640×576,OBFormat.Y16,ts=2517795252
[DEBUG] frames: total=120, depth_sets=115, color=1280×720,OBFormat.RGB,ts=2517795351, depth=640×576,OBFormat.Y16,ts=2517795352
[DEBUG] frames: total=121, depth_sets=116, color=1280×720,OBFormat.RGB,ts=2517795417, depth=640×576,OBFormat.Y16,ts=2517795418
[DEBUG] frames: total=122, depth_sets=117, color=1280×720,OBFormat.RGB,ts=2517795517, depth=640×576,OBFormat.Y16,ts=2517795518
[DEBUG] frames: total=123, depth_sets=118, color=1280×720,OBFormat.RGB,ts=2517795583, depth=640×576,OBFormat.Y16,ts=2517795585
[DEBUG] frames: total=124, depth_sets=119, color=1280×720,OBFormat.RGB,ts=2517795683, depth=640×576,OBFormat.Y16,ts=2517795684
[DEBUG] frames: total=125, depth_sets=120, color=1280×720,OBFormat.RGB,ts=2517795750, depth=640×576,OBFormat.Y16,ts=2517795751
[DEBUG] frames: total=126, depth_sets=121, color=1280×720,OBFormat.RGB,ts=2517795849, depth=640×576,OBFormat.Y16,ts=2517795851
[DEBUG] frames: total=127, depth_sets=122, color=1280×720,OBFormat.RGB,ts=2517795916, depth=640×576,OBFormat.Y16,ts=2517795917
[DEBUG] frames: total=128, depth_sets=123, color=1280×720,OBFormat.RGB,ts=2517796016, depth=640×576,OBFormat.Y16,ts=2517796017
[DEBUG] frames: total=129, depth_sets=124, color=1280×720,OBFormat.RGB,ts=2517796082, depth=640×576,OBFormat.Y16,ts=2517796083
[DEBUG] frames: total=130, depth_sets=125, color=1280×720,OBFormat.RGB,ts=2517796182, depth=640×576,OBFormat.Y16,ts=2517796183
[DEBUG] frames: total=131, depth_sets=126, color=1280×720,OBFormat.RGB,ts=2517796248, depth=640×576,OBFormat.Y16,ts=2517796250
[DEBUG] frames: total=132, depth_sets=127, color=1280×720,OBFormat.RGB,ts=2517796348, depth=640×576,OBFormat.Y16,ts=2517796349
